concepto_cleared,categoria,metodo_algoritmo,explicacion
suministro personal periodo mes fotodeteccion osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,"Indica el suministro de personal para labores operativas de fotodetección, encuadrando en empresas de servicios temporales."
suministro personal periodo mes gestion recaudo osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,"Indica el suministro de personal para labores de gestión de recaudo, conforme a empresas de servicios temporales."
suministro personal periodo mes seguridad osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,"Aunque menciona seguridad, el concepto principal es suministro de personal, clasificándose en empresas de servicios temporales."
suministro personal periodo mes operativa rdi osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,"Indica el suministro de personal para labores operativas, clasificándose en empresas de servicios temporales."
suministro personal periodo mes gerencia osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,"Indica el suministro de personal para labores de apoyo a gerencia, conforme a empresas de servicios temporales."
suministro personal periodo mes gerencia cdav osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,"Indica el suministro de personal para labores de apoyo a gerencia cdav, conforme a empresas de servicios temporales."
suministro personal periodo mes alat osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,"Indica el suministro de personal para labores en alat, clasificándose como empresas de servicios temporales."
suministro personal periodo mes area gestion comercial osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,"Indica el suministro de personal para la gestión comercial, conforme a empresas de servicios temporales."
suministro personal periodo mes admon financiera osmt,Empresas de Servicios Temporales,gemini-3.1-flash-lite-preview,"Indica el suministro de personal para administración financiera, clasificándose en empresas de servicios temporales."
servicios extension,Servicios Generales,gemini-3.1-flash-lite-preview,"El término es genérico y carece de información suficiente para determinar una categoría específica, por lo que se asigna a servicios generales."
costo directo,Contratos de construcción y urbanización,KEYWORD,
imprevistos,Contratos de construcción y urbanización,KEYWORD,
utilidad,DESCONOCIDO,gemini-3.1-flash-lite-preview,La utilidad representa un margen financiero o resultado contable y no un concepto de compra de bienes o servicios facturables.
ajuste valor,DESCONOCIDO,gemini-3.1-flash-lite-preview,El concepto es ambiguo y no permite determinar la naturaleza de la transacción o el bien/servicio asociado.
renta vehiculo,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,"Corresponde al pago por el alquiler temporal de un bien mueble, en este caso un vehículo, sin transferencia de propiedad."
ingreso terceros,DESCONOCIDO,gemini-3.1-flash-lite-preview,"El concepto no especifica la naturaleza del ingreso ni si constituye un reembolso, pago a terceros o ajuste contable, impidiendo su clasificación precisa."
,DESCONOCIDO,gemini-3.1-flash-lite-preview,El concepto está vacío y no permite una clasificación tributaria válida.
tiquetes aereos,Transporte de Pasajeros (Aéreo o Marítimo),gemini-3.1-flash-lite-preview,"El servicio corresponde al traslado de personas por vía aérea, tal como se identifica en los tiquetes de viaje."
siguientes requerimientos,DESCONOCIDO,gemini-3.1-flash-lite-preview,Es un enunciado vago que no describe ningún bien tangible ni servicio específico prestado.
ffie ffie ffie,DESCONOCIDO,gemini-3.1-flash-lite-preview,"Las siglas hacen referencia a una entidad pública, pero no describen el servicio o bien objeto de facturación."
ffie ffie,DESCONOCIDO,gemini-3.1-flash-lite-preview,"Al igual que el ítem anterior, no contiene información suficiente para clasificar el concepto tributario correspondiente."
tarifa administrativa,Servicios Generales,gemini-3.1-flash-lite-preview,"Al no especificar el servicio administrativo, se clasifica como servicio general sujeto a revisión para determinar su naturaleza exacta."
almacenamiento normal cajas ref,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio logístico de almacenamiento que no encaja en categorías específicas como transporte o arrendamiento de inmuebles.
consulta unidad documental envio normal,Servicios Generales,gemini-3.1-flash-lite-preview,Corresponde a servicios de gestión documental y archivo que se clasifican de forma provisional como servicios generales.
interventoria proyecto construccion puente quebrada alacranera tramos placa huella via recreo bolivar municipio pradera valle cauca identificado codigo bpin,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicio de supervisión técnica especializada para un proyecto de infraestructura de obra civil (puente y vía).
cert dig pert emp tok fis vig año,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,"Adquisición de herramientas digitales de seguridad y validación, asociadas al uso de software o plataformas tecnológicas."
contrato,DESCONOCIDO,gemini-3.1-flash-lite-preview,"La palabra contrato por sí sola no define el objeto, servicio o bien prestado, siendo imposible realizar una clasificación tributaria."
exchange line archiving for exchange line,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,"Servicio de archivos y licenciamiento de herramientas de correo electrónico (Microsoft Exchange), clasificado como intangible tecnológico."
microsoft bussines basic,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Pago por suscripción o licenciamiento de la suite de productividad Microsoft 365 Business Basic.
microsoft defender oficce plan,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Pago por suscripción o derecho de uso de software de seguridad informática.
microsoft,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Concepto genérico que en este contexto empresarial refiere a la adquisición de licenciamiento de software.
one drive for bussines plan,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Suscripción para servicio de almacenamiento en la nube bajo modelo de licenciamiento empresarial.
visio plan,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Adquisición de derecho de uso del software de diagramación Visio mediante plan de suscripción.
microsoft business basic,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Pago por el plan de licenciamiento básico de productividad para entornos empresariales.
cinta tesa transparente,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de un bien corporal fungible clasificado como material de oficina.
cosedora bates,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de un bien tangible, utensilio de oficina inventariable."
portalapiz malla metalico,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de bien corporal fungible para uso en oficinas.
sacagrapas oficina,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de insumo de oficina o bien corporal fungible.
papelera piso malla negra,Compras Generales,gemini-3.1-flash-lite-preview,Compra de bien corporal de uso general para oficina.
actividades empresariales gravadas,Servicios Generales,gemini-3.1-flash-lite-preview,Concepto vago que requiere revisión al no describir claramente un servicio específico.
kimb scot jumb bco,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de insumos de aseo o papelería institucional corporales.
servicio consumo azure mes contrato,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Pago por servicios de computación en la nube bajo modelo de licenciamiento y consumo.
lava platos axion crema grs limon,Compras Generales,gemini-3.1-flash-lite-preview,Compra de insumos de aseo corporales de uso general.
dulceabrigo rojo metro,Compras Generales,gemini-3.1-flash-lite-preview,Bien corporal (prenda de vestir) considerado como articulo de consumo o inventario.
colador greca,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de un bien tangible, accesorio de cocina para uso general."
cafe ginebra grano grs,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de producto procesado o comercial, no corresponde a café en estado primario de cereza o pergamino."
arrendamiento mes,Arrendamiento de bienes inmuebles,gemini-3.1-flash-lite-preview,"Concepto genérico de arrendamiento, habitualmente asociado al uso de espacios o locales físicos corporativos."
reformas capital soc comercial inst financie,Servicios Generales,gemini-3.1-flash-lite-preview,"Trámites legales y administrativos asociados a reformas estatutarias, sin clasificación específica."
impuesto registro cuantia,DESCONOCIDO,gemini-3.1-flash-lite-preview,"Se trata de un tributo, no constituye una transacción comercial de compra de bienes o prestación de servicios."
certificacion aumento capital suscrito,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de certificación administrativa o legal que no encaja en categorías técnicas de consultoría.
asesoria tecnica bases datos mes mes,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,"Servicio intelectual de asesoría técnica en sistemas y datos, prestado típicamente por personas jurídicas."
contrato gerencia,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Servicio de gerencia o gestión empresarial prestado mediante contrato de administración delegada.
servicios nube,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,"Adquisición de servicios digitales bajo modelo SaaS, equivalente a licencia o derecho de uso de software."
alquiler aio tipo dias,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,"Alquiler de equipos de cómputo (All-in-one), clasificado como bien mueble."
alquiler disco externo dias,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,Alquiler de equipo o periférico de almacenamiento externo.
alquiler dvd unidades dvd externas dias,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,"Alquiler de equipo periférico de lectura de datos, clasificado como bien mueble."
periodo noviembre mes,DESCONOCIDO,gemini-3.1-flash-lite-preview,"Es una referencia temporal, no representa un objeto de transacción económica ni servicio prestado."
reintegro nomina mes,Reembolso,gemini-3.1-flash-lite-preview,Devolución de gastos operativos de nómina previamente pagados por un tercero.
certificado constitucion gerencia,Servicios Generales,gemini-3.1-flash-lite-preview,Trámite administrativo o documental necesario para la gestión corporativa.
supervisor soporte tecnico operativo mes mes,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Servicio de supervisión técnica profesional prestado sin subordinación laboral evidente.
soporte tecnico operativo mes mes,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio técnico de soporte operativo sin una clasificación profesional específica adicional.
operacion tecnologia scaner faro,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de operación de equipos tecnológicos que no encaja en consultoría o mantenimiento especializado.
actade liquidacion,DESCONOCIDO,gemini-3.1-flash-lite-preview,El concepto describe un documento administrativo y no una transacción de compra o servicio.
servicios profesionales,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Pago por servicios intelectuales realizados de manera independiente por personas naturales o jurídicas.
servicio consumos generados servicios azure periodo mes servicio contenedores estrategicos,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Uso de infraestructura y plataformas digitales tipo SaaS en la nube.
plotter bond alta blancura color lineal,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de insumos de papelería y materiales tangibles para impresión.
asesoria gestion medios,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Servicio de consultoría y asesoría estratégica prestado por terceros especializados.
bombeable normal psi dias plg,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de materiales de construcción como concreto premezclado para uso en obra.
alquiler modem internet dias operador,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,Contrato de arrendamiento de equipos de telecomunicaciones para conectividad.
agua cristal botellon agarre,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de bienes de consumo masivo para uso en oficina.
agua cristal plana pet preci,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de bienes de consumo masivo para uso en oficina.
hotel,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Servicio de hospedaje para actividades corporativas o de viaje.
tiquete aereo nacional,Transporte de Pasajeros (Aéreo o Marítimo),gemini-3.1-flash-lite-preview,Servicio de transporte de personas por vía aérea.
suministros refrigerios,"Hoteles, restaurantes y alojamiento",gemini-3.1-flash-lite-preview,Suministro de alimentación y servicios de catering para eventos o personal.
suministros,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición genérica de bienes tangibles o insumos para el funcionamiento de la empresa.
servicios,Servicios Generales,gemini-3.1-flash-lite-preview,Concepto demasiado amplio y sin especificación suficiente para asignarlo a una categoría técnica definida.
vigilancia fisica guardas arma vigilancia fisica arma fideicomiso uniplaza precio contratado mensual,Vigilancia y Aseo,gemini-3.1-flash-lite-preview,Servicio de vigilancia privada con personal para la protección de instalaciones y activos.
seguros daños personales accidentes,Servicios Generales,gemini-3.1-flash-lite-preview,"Al no existir una categoría específica para pólizas de seguros, se clasifica en servicios generales."
servicios seguros,Servicios Generales,gemini-3.1-flash-lite-preview,"Corresponde a la contratación de seguros, clasificado aquí ante la ausencia de una categoría específica."
suministro filtros equipo liebert modelo hle setx,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de bienes tangibles (filtros) destinados al mantenimiento de equipos.
superficie rectangular lam natural,Compras Generales,gemini-3.1-flash-lite-preview,Compra de bien físico tangible asociado a mobiliario o componentes de oficina.
base connect mteal negro,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de componente o parte de mobiliario tangible de uso general.
sis puesto network lam natural metal negro,Compras Generales,gemini-3.1-flash-lite-preview,Compra de bienes corporales inventariables relacionados con equipamiento de oficina.
garantia extendida anual apartir año,Servicios Generales,gemini-3.1-flash-lite-preview,"Servicio accesorio asociado a la compra de bienes, clasificado como servicio general."
asesoria actividades administrador acuerdos contenedor servicios estrategicos mes mes segun orden compra ruiz troncosos asociados sas concesion runt,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Servicio de asesoría estratégica prestado por una persona jurídica para la gestión de acuerdos y servicios.
dic renta mensual radios,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,Alquiler de equipos de comunicación (bienes muebles) para uso operativo.
dic renta maquina rayos,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,Contrato de arrendamiento de equipo tecnológico considerado bien mueble.
dic renta arco detector metal,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,Alquiler de equipo de seguridad física categorizado como arrendamiento de bien mueble.
obra civil,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Ejecución de actividades de construcción, adecuación o mejora de infraestructura física."
solucion wlan cctv redes,Servicios Generales,gemini-3.1-flash-lite-preview,Servicios de implementación de infraestructura de redes y vigilancia que no clasifican en categorías técnicas especializadas predefinidas.
confronta ultra linea,DESCONOCIDO,gemini-3.1-flash-lite-preview,"El concepto no permite identificar claramente la naturaleza del servicio o bien, por lo que no es posible asignarlo a una categoría tributaria específica."
liquidacion correspondiente,DESCONOCIDO,gemini-3.1-flash-lite-preview,"El término es ambiguo y carece de contexto suficiente para determinar si se refiere a una prestación de servicios, una venta de bienes o un ajuste contable."
costo directo acta parcial playa rica sede principal municipio etambo cauca,Contratos de construcción y urbanización,KEYWORD,
costo directo acta parcial belen sede costeñita municipio tambo cauca,Contratos de construcción y urbanización,KEYWORD,
comision,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Corresponde explícitamente a pagos por gestión o intermediación profesional, clasificados bajo la categoría de honorarios y comisiones."
reembolso gastos seguros,Reembolso,gemini-3.1-flash-lite-preview,"Devolución de gastos previamente incurridos por un tercero, sin constituir una operación de venta o prestación de servicios gravable."
servicio señalizacion,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de instalación de señalización que no se ajusta a las categorías específicas de construcción o consultoría detalladas en el manual.
cto ejecutar diagnostico obras necesarias mejoramiento infraestructura educativa requerida fondo financiamiento infraestructura educativa ffie territorio nacional antioquia,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Servicios orientados a la ejecución de diagnósticos y obras de mejoramiento de infraestructura, encuadrados en contratos de construcción y urbanización."
ser interventoria,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"La interventoría es un servicio de supervisión técnica especializada para proyectos de infraestructura, lo cual encaja en esta categoría."
honorarios sencia,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Pago por servicios profesionales o técnicos intelectuales prestados de manera independiente.
asesoria decimo segundo pago periodo mes mes contrato servicios apoyo gerencia proyecto oxi hato corozal salina bpin,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,"Servicios de asesoría, apoyo a la gerencia de proyectos y consultoría estratégica prestados por terceros."
asesoria decimo segundo pago periodo mes mes contrato serv apoyo gerencia proyecto oxi hato corozal bpin,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,"Servicios de asesoría, apoyo a la gerencia de proyectos y consultoría estratégica prestados por terceros."
custodia caja,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio de manejo o resguardo operativo que no tiene una categoría específica en la tabla de retención.
consulta normal caja,Servicios Generales,gemini-3.1-flash-lite-preview,Tarea administrativa u operativa de consulta que carece de clasificación específica.
envio consulta normal caja carpeta,Servicios Generales,gemini-3.1-flash-lite-preview,Actividad administrativa de gestión documental o consulta que no encaja en las categorías tributarias definidas.
rearchivo caja,Servicios Generales,gemini-3.1-flash-lite-preview,Actividad operativa de archivo que no constituye una venta de bienes o servicios especializados.
transporte inicial caja ubicacion instalaciones contratista caja,"Transporte de Carga (Terrestre, Aéreo o Marítimo)",gemini-3.1-flash-lite-preview,Se trata de un servicio logístico de movilización de bienes físicos (caja) relacionado con las actividades de un contratista.
asesoria laboral correspondiente mes mes fideicomiso municipio,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Servicio de consultoría y asesoría profesional prestado de forma independiente, sin vínculo laboral directo."
cerdo levante naranja,Productos agrícolas/pecuarios (sin proceso industrial),gemini-3.1-flash-lite-preview,"Adquisición de un animal vivo para cría o engorde, clasificado como insumo pecuario en estado primario."
numetrin cipermetrina agricola,Compras Generales,gemini-3.1-flash-lite-preview,"Insumos y productos químicos para uso agropecuario, clasificados como bienes tangibles de uso general."
pollito iniciox,Productos agrícolas/pecuarios (sin proceso industrial),gemini-3.1-flash-lite-preview,"Adquisición de animales vivos de granja para fines productivos, considerados productos de origen pecuario."
maiz,Productos agrícolas/pecuarios (sin proceso industrial),gemini-3.1-flash-lite-preview,"Bien de origen agrícola en estado primario, sin transformación industrial alguna."
medroxiprogesterona fco,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de insumo farmacéutico o químico, clasificado como bien tangible de consumo general."
elaboracion transmision factura electronica mes mes contaweb,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Uso de plataformas tecnológicas para la emisión y transmisión de documentos electrónicos bajo modelo de software.
elaboracion transmision nomina electronica mes mes contaweb,Licencia/Derecho de Uso de Software,gemini-3.1-flash-lite-preview,Uso de herramientas digitales para la gestión y transmisión de nómina electrónica en modelo SaaS.
acta total liquidacion,DESCONOCIDO,gemini-3.1-flash-lite-preview,"El concepto es ambiguo y no define si corresponde a una venta de bien, un servicio o un reembolso, requiriendo mayor claridad."
pago honorarios contrato mes mes,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Pago derivado de un servicio profesional prestado bajo contrato, sin relación de subordinación laboral."
prestacion servicios profesionales ffie realizacion supervision contratos brindar apoyo supervision contratos interventoria hagan veces gastos viajes dic,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Servicios de supervisión e interventoría especializada, alineados con actividades de control y seguimiento en proyectos de infraestructura."
serv vig hrs hras serv vig hrs hras,Vigilancia y Aseo,gemini-3.1-flash-lite-preview,Contratación de servicios de seguridad física y vigilancia prestados por empresas especializadas.
aiu aiu,DESCONOCIDO,gemini-3.1-flash-lite-preview,"El AIU es un concepto financiero (base de cálculo) y no describe un servicio o bien por sí mismo, por lo que su naturaleza es indeterminada."
cable utp nivel vcp,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de material físico (insumo) para instalaciones técnicas, inventariable y transportable."
face plate pts amp,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de elementos físicos de conectividad y materiales de red.
jack cat amp azul,Compras Generales,gemini-3.1-flash-lite-preview,Compra de conector de red tipo jack para infraestructura de cableado.
jack cat amp negro,Compras Generales,gemini-3.1-flash-lite-preview,Compra de conector de red tipo jack para infraestructura de cableado.
toma doble inc naranja leviton,Compras Generales,gemini-3.1-flash-lite-preview,Compra de material eléctrico de uso general en instalaciones.
honorario asesoria juridica,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,Pago por servicios profesionales de asesoría legal sin relación laboral.
acta costo mensual contrato interventoria caq comprenden realizar interventoria tecnica administrativa financiera juridica ambiental contrato obra comprenden obra necesarias mejoramiento residencias escolares sedes florida sede florida municipio milan chontillosa medio sede correntoso municipio solita chontillosa medio sede brisas municipio solita costo mensual contrato interventoria siguientes periodos mes mes mes mes mes costo variable avaces obra acta obra acta obra,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,"Servicio de supervisión técnica, administrativa y ambiental sobre contratos de obra pública educativa."
intercom ventana estandar int,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de dispositivo físico de comunicación o ferretería.
ases,Servicios Generales,gemini-3.1-flash-lite-preview,"Concepto indeterminado que sugiere asesoría, clasificado en servicios generales por falta de especificidad."
porta carnet pasta alianza,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de insumo de oficina o papelería.
yoyo alianza,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de accesorio de oficina para sujeción de carnets.
carnet alianza,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de elementos de identificación física.
contrataciones,DESCONOCIDO,gemini-3.1-flash-lite-preview,Término ambiguo que no permite identificar la naturaleza del bien o servicio adquirido.
valor costo directo obra,Contratos de construcción y urbanización,KEYWORD,
cod servicio parqueadero placa gpz permanencia minutos,Servicios Generales,gemini-3.1-flash-lite-preview,Pago por servicios operativos de estacionamiento.
numero contrato asesoria apoyo tecnico direccion tecnica estructuracion contratos alta mediana complejidad supervision seguimiento control gestion ejecucion entrega proyectos infraestructura educativa ffie correspondiente pago periodo comprendido favor consignar numero cuenta bancaria cuenta ahorros delbancoscotiabank colpatria,Interventoría/Consultoría Ingeniería (Infraestructura),gemini-3.1-flash-lite-preview,Servicios de consultoría técnica y supervisión especializada para proyectos de infraestructura educativa.
servicio mensajeria mes,Servicios Generales,gemini-3.1-flash-lite-preview,Prestación de servicios de correspondencia y mensajería administrativa.
suministro insumos aseo cafeteria,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de bienes muebles tangibles utilizados como insumos de consumo general para la oficina.
alquiler purificadores agua,Arrendamiento de bienes muebles,gemini-3.1-flash-lite-preview,Contrato de alquiler temporal de equipos o bienes muebles no inmuebles.
purificacion baños,Servicios Generales,gemini-3.1-flash-lite-preview,Servicio operativo de mantenimiento o saneamiento de instalaciones que no clasifica en servicios profesionales especializados.
acta contrato obra numero,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,Refiere a la ejecución de un contrato relacionado con obras civiles o adecuación de infraestructura.
mcnh ipad air pulgadas,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de bien mueble tangible, corresponde a un dispositivo tecnológico."
apple pencil pro apple pencil pro ipad pro ipad air,Compras Generales,gemini-3.1-flash-lite-preview,"Adquisición de bien mueble tangible, corresponde a un accesorio tecnológico."
caja electrica cmx cmx euc,Compras Generales,gemini-3.1-flash-lite-preview,Compra de insumo o material eléctrico tangible de uso general.
tablones euc,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de materiales de construcción o insumos tangibles.
koraza rojo euc,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de bien tangible, corresponde a insumo de pintura o recubrimiento."
koraza azul nocturno euc,Compras Generales,gemini-3.1-flash-lite-preview,"Compra de bien tangible, corresponde a insumo de pintura o recubrimiento."
suministro adecuacion oficinas sencia estadio campin incluye adecuacion electrica suministro mobiliario adecuacion divisiones vidrio,Contratos de construcción y urbanización,gemini-3.1-flash-lite-preview,"Contrato para la remodelación, adecuación física e instalación de infraestructura en inmueble."
servicio oficial proteccion datos personales,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Servicio de asesoría técnica y consultoría especializada en cumplimiento normativo de protección de datos.
servicios oficial cumplimiento,Consultoría General/Administración Delegada (PJ),gemini-3.1-flash-lite-preview,Servicio de consultoría estratégica y supervisión para el cumplimiento de normativas de riesgo y control.
notas adhesivas color neon euc,Compras Generales,gemini-3.1-flash-lite-preview,Adquisición de insumo de papelería tangible.
cinta enmascarar ferretera,Compras Generales,gemini-3.1-flash-lite-preview,Compra de insumo tangible de ferretería.
boligrafo esfero semigel caja uni euc,Compras Generales,gemini-3.1-flash-lite-preview,"Se clasifica como compra de suministros u oficina, al ser un bien tangible y consumible."
horno microondas,Compras Generales,gemini-3.1-flash-lite-preview,"Corresponde a la adquisición de un electrodoméstico o equipo de uso general, considerado como bien tangible."
servicio integral aseo cafeteria segun contrato mes,Vigilancia y Aseo,gemini-3.1-flash-lite-preview,Servicio prestado para la limpieza y mantenimiento de las instalaciones bajo contrato de aseo.
aiu servicio integral aseo art,Vigilancia y Aseo,gemini-3.1-flash-lite-preview,"Valor correspondiente al componente de AIU (Administración, Imprevistos y Utilidad) derivado del contrato de servicios de aseo."
servicios gestion cobro \ngestion cartera concepto pago infracciones corrientes dias,Honorarios y Comisiones,gemini-3.1-flash-lite-preview,"Servicios profesionales prestados para la gestión, recaudo o intermediación en la cobranza de cartera."
